1,camiseta,xicara,caneta,gravata,fundo cinza,claro
2,camiseta,xicara,caneta,gravata,fundo cinza,claro
3,camiseta,xicara,caneta,gravata,fundo cinza,claro
4,camiseta,xicara,caneta,gravata,fundo cinza,meia luz
5,camiseta,xicara,caneta,gravata,fundo cinza,meia luz
6,camiseta,xicara,caneta,gravata,fundo cinza,meia luz
7,camiseta,xicara,caneta,gravata,fundo cinza,escuro
8,camiseta,xicara,caneta,gravata,fundo cinza,escuro
9,camiseta,xicara,caneta,gravata,fundo cinza,escuro
10,camiseta,xicara,caneta,gravata,fundo marrom,claro
11,camiseta,xicara,caneta,gravata,fundo marrom,claro
12,camiseta,xicara,caneta,gravata,fundo marrom,claro
13,camiseta,xicara,caneta,gravata,fundo marrom,claro
14,camiseta,xicara,caneta,gravata,fundo marrom,meia luz
15,camiseta,xicara,caneta,gravata,fundo marrom,meia luz
16,camiseta,xicara,caneta,gravata,fundo marrom,meia luz
17,camiseta,xicara,caneta,gravata,fundo marrom,escuro
18,camiseta,xicara,caneta,gravata,fundo marrom,escuro
19,camiseta,xicara,caneta,gravata,fundo marrom,escuro
20,camiseta,xicara,caneta,gravata,fundo branco,claro
21,camiseta,xicara,caneta,gravata,fundo branco,claro
22,camiseta,xicara,caneta,gravata,fundo branco,claro
23,cabide,tenis,prato,calça,fundo cinza,claro
24,cabide,tenis,prato,calça,fundo cinza,claro
25,cabide,tenis,prato,calça,fundo cinza,claro
26,cabide,tenis,prato,calça,fundo cinza,meia luz
27,cabide,tenis,prato,calça,fundo cinza,meia luz
28,cabide,tenis,prato,calça,fundo cinza,meia luz
29,cabide,tenis,prato,calça,fundo cinza,escuro
30,cabide,tenis,prato,calça,fundo cinza,escuro
31,cabide,tenis,prato,calça,fundo cinza,escuro
32,cabide,tenis,prato,calça,fundo marrom,claro
33,cabide,tenis,prato,calça,fundo marrom,claro
34,cabide,tenis,prato,calça,fundo marrom,claro
35,cabide,tenis,prato,calça,fundo marrom,meia luz
36,cabide,tenis,prato,calça,fundo marrom,meia luz
37,cabide,tenis,prato,calça,fundo marrom,meia luz
38,cabide,tenis,prato,calça,fundo marrom,escuro
39,cabide,tenis,prato,calça,fundo marrom,escuro
40,cabide,tenis,prato,calça,fundo marrom,escuro
41,cabide,tenis,prato,calça,fundo branco,claro
42,cabide,tenis,prato,calça,fundo branco,claro
43,cabide,tenis,prato,calça,fundo branco,claro
44,forma,panela,copo,cinto,fundo cinza,claro
45,forma,panela,copo,cinto,fundo cinza,claro
46,forma,panela,copo,cinto,fundo cinza,claro
47,forma,panela,copo,cinto,fundo cinza,meia luz
48,forma,panela,copo,cinto,fundo cinza,meia luz
49,forma,panela,copo,cinto,fundo cinza,meia luz
50,forma,panela,copo,cinto,fundo cinza,escuro
51,forma,panela,copo,cinto,fundo cinza,escuro
52,forma,panela,copo,cinto,fundo cinza,escuro
53,forma,panela,copo,cinto,fundo marrom,claro
54,forma,panela,copo,cinto,fundo marrom,claro
55,forma,panela,copo,cinto,fundo marrom,claro
56,forma,panela,copo,cinto,fundo marrom,meia luz
57,forma,panela,copo,cinto,fundo marrom,meia luz
58,forma,panela,copo,cinto,fundo marrom,meia luz
59,forma,panela,copo,cinto,fundo marrom,escuro
60,forma,panela,copo,cinto,fundo marrom,escuro
61,forma,panela,copo,cinto,fundo marrom,escuro
62,forma,panela,copo,cinto,fundo branco,claro
63,forma,panela,copo,cinto,fundo branco,claro
64,forma,panela,copo,cinto,fundo branco,claro
65,forma,xicara,tenis,cabide,fundo branco,escuro
66,forma,xicara,tenis,cabide,fundo branco,escuro
67,forma,xicara,tenis,cabide,fundo branco,escuro
68,forma,xicara,tenis,cabide,fundo branco,meia luz
69,forma,xicara,tenis,cabide,fundo branco,meia luz
70,forma,xicara,tenis,cabide,fundo branco,meia luz
71,caneta,cinto,copo,gravata,fundo branco,meia luz
72,caneta,cinto,copo,gravata,fundo branco,meia luz
73,caneta,cinto,copo,gravata,fundo branco,meia luz
74,caneta,cinto,copo,gravata,fundo branco,escuro
75,caneta,cinto,copo,gravata,fundo branco,escuro
76,caneta,cinto,copo,gravata,fundo branco,escuro
77,camiseta,calça,prato,panela,fundo branco,escuro
78,camiseta,calça,prato,panela,fundo branco,escuro
79,camiseta,calça,prato,panela,fundo branco,escuro
80,camiseta,calça,prato,panela,fundo branco,meia luz
81,camiseta,calça,prato,panela,fundo branco,meia luz
82,camiseta,calça,prato,panela,fundo branco,meia luz